 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,IntDen,RawIntDen
52,pperpot_6K-2.tif:0052-0183,0.082722,24272.586207,10875,36783,8.698091,2.374858,8.697456,2.374809,1.103043,0.351072,0.300008,89.282928,2007.865229,11966385
53,pperpot_6K-2.tif:0053-0185,0.096816,24120.504333,14336,37518,9.773924,2.386052,9.77606,2.386193,1.197781,0.390016,0.316064,86.9883,2335.252173,13917531
54,pperpot_6K-2.tif:0054-0184,0.089769,24146.699065,8210,36864,9.225612,2.383376,9.223831,2.383848,1.132093,0.361377,0.316283,98.950926,2167.619948,12918484
55,pperpot_6K-2.tif:0055-0185,0.094803,23673.787611,11334,38766,8.160462,2.395393,8.161039,2.39433,1.183907,0.378159,0.319195,141.532219,2244.335517,13375690
56,pperpot_6K-2.tif:0056-0223,0.156886,25146.003209,11431,36825,2.217321,2.884209,2.220907,2.889186,1.499774,0.463861,0.430632,71.800522,3945.046849,23511513
57,pperpot_6K-2.tif:0057-0223,0.102018,22853.878289,12763,32788,7.052754,2.905303,7.052513,2.905415,1.279947,0.432113,0.300599,92.609496,2331.498159,13895158
58,pperpot_6K-2.tif:0058-0220,0.076849,22864.70524,11575,35255,8.165742,2.860452,8.166304,2.860641,1.089169,0.382793,0.255613,65.690321,1757.125059,10472035
59,pperpot_6K-2.tif:0059-0224,0.130207,23855.849227,10656,44685,11.385657,2.90715,11.383383,2.908753,1.38986,0.47102,0.351969,88.36771,3106.191236,18512139
60,pperpot_6K-2.tif:0060-0222,0.111246,26789.785822,13613,42867,2.766658,2.887518,2.768422,2.889621,1.258485,0.417083,0.339604,107.189119,2980.261397,17761628
61,pperpot_6K-2.tif:0061-0222,0.095642,26493.375439,16384,40371,3.8482,2.896712,3.846348,2.898773,1.191495,0.39492,0.308352,91.360736,2533.866543,15101224
62,pperpot_6K-2.tif:0062-0224,0.104199,24108.243156,12122,35587,8.680977,2.900501,8.680324,2.90137,1.228133,0.40366,0.328668,82.692308,2512.052727,14971219
63,pperpot_6K-2.tif:0063-0223,0.091111,23833.101289,14227,36805,10.300947,2.898104,10.301999,2.896558,1.136538,0.383132,0.302784,102.496528,2171.46071,12941374
